author,datetype,docid,enddate,enumcron,filepath,genres,imprint,imprintdate,locnum,oclc,place,recordid,sampledas,startdate,subjects,title
"Vanderburg, William O.",s,mdp.39015086485839,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015086485839.basic.json.bz2,NotFiction,"Washington, D.C.|U.S. Dept. of Commerce, Bureau of Mines|1932.",1932,,41791076,dcu,12212650,other,1932,Mining engineering|Colorado|Boulder County|Mines and mineral resources,"Methods and costs of mining ferberite ore at Cold Springs Mine, Nederland, Boulder County, Colo"
"Priest, Irwin Gillespie,",s,mdp.39015086550392,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015086550392.basic.json.bz2,Bibliographies|NotFiction,"Washington, D.C.|U.S. Dept. of Commerce, Bureau of Standards|U.S. Govt. Print. Off.|1921].",1921,AC475.P7,24947327,dcu,9488794,other,1921,Radiation|Spectrum analysis|Measurement,Measurement of the color temperature of the more efficient artificial light sources by the method of rotary dispersion
,s,mdp.39015086560300,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015086560300.basic.json.bz2,Bibliographies|NotFiction,"Washington|Dept. of Commerce, National Bureau of Standards, National Engineering Laboratory, Center for Building Technology|For sale by the Supt. of Docs., U.S. Govt. Print. Off.|1978.",1978,TA435.U58 v.982,4482654,dcu,9487874,other,1978,Insulating materials|Insulation (Heat),Criteria for retrofit materials and products for weatherization of residences
,s,mdp.39015086934935,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015086934935.basic.json.bz2,Bibliographies|Statistics|NotFiction,New York|United Nations|1973.,1973,JX1977.A2 ST/SOA/Ser. A/54HB885,1098048,nyu,3331142,other,1973,Families|Statistics|Population forecasting,Methods of projecting households and families
,s,mdp.39015088950293,    ,Guide,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015088950293.basic.json.bz2,NotFiction,"Bethesda, MD|University Publications of America|c1998.",1998,,40164426,mdu,3444586,other,1998,United States|Dept. of State|Archives|1953-1975|Foreign relations|Sources,Confidential U.S. State Department central files
"Acheson, Dean,",s,mdp.39015089074754,    ,Index,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015089074754.basic.json.bz2,NotFiction|Biography,"Frederick, Md.|University Publications of America|c1980.",1980,,20595216,mdu,000182042,bio,1980,"Statesmen|Politics and government | Sources|Acheson, Dean|1893-1971|Foreign relations | Sources|United States|1945-1953|Biography",Official conversations and meetings of Dean Acheson (1949-1953)
"Dickens, Charles,",s,mdp.39015091651375,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015091651375.basic.json.bz2,Fiction|Ghost stories,Philadelphia|H. Altemus|1938?,1938,,3121714,pau,005378020,fic,1938,"Fiction|Christmas stories, English|Social life and customs|19th century|Misers",A Christmas carol
"Corbett, James P.",s,mdp.39015092873085,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015092873085.basic.json.bz2,NotFiction,"Washington, D.C.|U.S. Dept. of Commerce, Bureau of the Census|For sale by Supt. of Docs., U.S. Govt. of Print. Off.|1979 i.e. 1980.",1979,GA23.C67,5830526,dcu,691179,other,1979,Géographie mathématique|Mathematical geography|Cartography|Combinatorial topology|Cartographie|Data processing|Informatique|Topologie combinatoire,Topological principles in cartography
"Rae, John,",c,mdp.39076000409081,1980,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000409081.basic.json.bz2,Fiction|Juvenile audience,"New York|F. Warne|1981, c1980.",1981,,6357181,nyu,009919864,fic,1981,Ghost stories|Twins|Juvenile fiction,The third twin
,s,mdp.39076000414081,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000414081.basic.json.bz2,Fiction,New York|Crowell|1974.,1974,,2934678,nyu,009920014,fic,1974,Translations into English|Italian poetry,Poems from Italy
"Dickens, Charles,",r,mdp.39076000451455,1844,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000451455.basic.json.bz2,Bibliographies|Fiction,London|Collins|1953.,1953,,4285834,enk,009918806,fic,1953,,Martin Chuzzlewit
"Harris, Richard J.",s,mdp.39076000458831,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076000458831.basic.json.bz2,Bibliographies|NotFiction,"Olando, Florida|Academic Press|c1985.",1985,,12127764,flu,574531,other,1985,Multivariate analysis,A primer of multivariate statistics
"Rabelais, François,",c,mdp.39076000462965,1952,v.1,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000462965.basic.json.bz2,Fiction,"Franklin Center, Pa.|Franklin Library|1979, c1952.",1979,PQ1685.E5C6 1979,5336555,pau,009918915,fic,1979,,The histories of Gargantua and Pantagruel
"Cervantes Saavedra, Miguel de,",m,mdp.39076000481791,1982,v.1,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000481791.basic.json.bz2,Fiction,"Franklin Center, Pa.|Franklin Library|1978-1982.",1978-1982,PQ6329.A2 1978,4468592,pau,009918774,fic,1978,,The history of Don Quixote de la Mancha
"Milton, John,",s,mdp.39076000524459,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000524459.basic.json.bz2,Poetry,London|Oxford University Press|c1966.,1966,PR3550.F66,2833479,enk,001376047,poe,1966,,Poetical works
"Sharmat, Mitchell.",s,mdp.39076000600051,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000600051.basic.json.bz2,Fiction|Juvenile audience,San Diego|Harcourt Brace Jovanovich|c1983.,1983,,7737613,cau,009908512,fic,1983,,The seven sloppy days of Phineas Pig
"Ingrassia, Sara.",s,mdp.39076000628052,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076000628052.basic.json.bz2,NotFiction,"Bloomington, Ind.|Phi Delta Kappa Educational Foundation|c1984.",1984,L797.I53 1984,10640559,inu,9908868,other,1984,Exhibitions|Education,Teacher fairs
"Stretton, Barbara.",s,mdp.39076000643713,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000643713.basic.json.bz2,Fiction|Juvenile audience,New York|Knopf|c1983.,1983,,9325163,nyu,009919307,fic,1983,,The truth of the matter
"Summers, Claude J.",s,mdp.39076000815733,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000815733.basic.json.bz2,Bibliographies|NotFiction|Biography,New York|Ungar|c1980.,1980,PR6017.S5Z85,6602718,nyu,000085274,bio,1980,"Criticism and interpretation|Isherwood, Christopher|1904-1986",Christopher Isherwood
"Parry-Jones, William Llywelyn.",s,mdp.39076000834049,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000834049.basic.json.bz2,UnknownGenre,London|Routledge and K. Paul|1972,1972,,377942,enk,002066603,non,1972,Great Britain|Mentally ill|Psychiatric hospitals|Care,The trade in lunacy
,r,mdp.39076000872858,1930,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000872858.basic.json.bz2,Fiction,London|Dent|New York|Dutton|1963,1963,,12296961,enk,009920735,fic,1963,English fiction|18th century,Shorter novels
"Cather, Willa,",s,mdp.39076000951629,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000951629.basic.json.bz2,Fiction,Boston|Houghton Mifflin|1961.,1961,,2159977,mau,009920788,fic,1961,,My Ántonia
"James, Henry,",r,mdp.39076000959523,1903,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000959523.basic.json.bz2,Fiction,Harmondsworth|New York|Penguin|1973.,1973,PZ3.J234Amb25PS2116,1389805,enk,000145209,fic,1973,,The ambassadors
"Thompson, Flora.",r,mdp.39076000960752,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000960752.basic.json.bz2,Fiction,New York|Crown|1983.,1983,PR6039.H653L3 1983,9686499,nyu,009920876,fic,1983,Oxfordshire|Social life and customs|Country life|England|Fiction,The illustrated Lark Rise to Candleford
"(Pamela Lyndon), Travers, P. L.",c,mdp.39076000973920,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000973920.basic.json.bz2,Fiction|Juvenile audience,San Diego|Harcourt Brace Jovanovich|1963?,1963,,15143507,cau,009920946,fic,1963,Juvenile fiction|Fantasy fiction,Mary Poppins comes back
"Joyce, James,",s,mdp.39076001009948,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076001009948.basic.json.bz2,Fiction,New York|Viking Press|1968,1968,,8685854,nyu,589283,fic,1968,,Dubliners
"Hoest, Bill.",s,mdp.39076001051627,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076001051627.basic.json.bz2,Juvenile audience|Fiction,New York;Atheneum;1967,1967,,953451,nyu,009911386,fic,1967,,A taste of carrot
"Lieder, Paul Robert,",s,mdp.39076001057723,    ,v.1,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076001057723.basic.json.bz2,NotFiction,New York|London|Harper & Brothers|1938.,1938,PR1221.L47,3703883,xx ,6609325,poe,1938,19th century|English poetry,Eminent British poets of the nineteenth century. Edited by Paul Robert Lieder
"Cummings, Charles,",s,mdp.39076001121347,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001121347.basic.json.bz2,Bibliographies|NotFiction,"Mahwah, N.J.|Paulist Press|c1991.",1991,BL435.C85 1991,23462058,nju,009921461,non,1991,Spirituality|Religious aspects|Nature|Human ecology,Eco-spirituality
"Vonnegut, Kurt.",c,mdp.39076001543219,1959,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001543219.basic.json.bz2,Fiction,"New York, N.Y.|Dell Pub. Co.|1988, c1959.",1988,,18829216,nyu,009922943,fic,1988,Fiction,The sirens of Titan
"Hotchkiss, Noel J.",s,mdp.39076001555486,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076001555486.basic.json.bz2,NotFiction,"Herndon, Va.|Alexis Pub.|c1994.",1994,TL696.A77H68 1994,31807236,vau,4536319,other,1994,Map reading|Orienteering|Navigation|Global Positioning System,A comprehensive guide to land navigation with GPS
"Phleger, Fred B.,",s,mdp.39076001610307,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001610307.basic.json.bz2,Fiction|Juvenile audience,New York|Beginner Book; distributed by Random House|1959,1959,,1414509,nyu,009909381,fic,1959,Whales|Juvenile literature,The whales go by
"Brink, Carol Ryrie,",r,mdp.39076001616031,1972,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001616031.basic.json.bz2,Fiction|Juvenile audience,New York|Aladdin Books|Toronto|Maxwell Macmillan Canada|New York|Maxwell Macmillan International|1991.,1991,,23654054,nyu,009923124,fic,1991,Dolls|Juvenile fiction,The bad times of Irma Baumlein
"McCloskey, Robert,",s,mdp.39076001625503,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001625503.basic.json.bz2,Fiction|Juvenile audience,New York|Puffin Books|c1980.,1980,,16675232,nyu,009923300,fic,1980,Families|Juvenile fiction,One morning in Maine
,s,mdp.39076001675979,    ,v.2,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076001675979.basic.json.bz2,Bibliographies|NotFiction,New York|Elsevier|1995,1995,QA164.H33 1995,32626230,nyu,3043230,other,1995,"Handbooks, manuals, etc|Combinatorial analysis",Handbook of combinatorics
,s,mdp.39076001754055,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001754055.basic.json.bz2,NotFiction,"Pueblo, CO|Passeggiata Press|c1997.",1997,,36416709,cou,009923900,non,1997,American fiction|Indian authors|Indians in literature|History and criticism,Critical perspectives on Native American fiction
,t,mdp.39076001757520,1932,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076001757520.basic.json.bz2,NotFiction,"New York;Macmillan;1937, c1932.",1937,,9455170,nyu,009923924,poe,1937,American poetry|English poetry|20th century,The New poetry
"Disraeli, Benjamin,",m,mdp.39076001758056,1927,v.3,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001758056.basic.json.bz2,Fiction,London|P. Davies|1926-27,1926-1927,,4373104,enk,009913794,fic,1926,,[Novels and tales
"Disraeli, Benjamin,",m,mdp.39076001758064,1927,v.4,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001758064.basic.json.bz2,Fiction,London|P. Davies|1926-27,1926-1927,,4373104,enk,009913794,fic,1926,,[Novels and tales
"Disraeli, Benjamin,",m,mdp.39076001758072,1927,v.5,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076001758072.basic.json.bz2,Fiction,London|P. Davies|1926-27,1926-1927,,4373104,enk,9913794,fic,1926,,[Novels and tales
"Disraeli, Benjamin,",m,mdp.39076001758148,1927,v.7,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001758148.basic.json.bz2,Fiction,London|P. Davies|1926-27,1926-1927,,4373104,enk,009913794,fic,1926,,[Novels and tales
"Disraeli, Benjamin,",m,mdp.39076001758189,1927,v.11,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001758189.basic.json.bz2,Fiction,London|P. Davies|1926-27,1926-1927,,4373104,enk,009913794,fic,1926,,[Novels and tales
"Disraeli, Benjamin,",m,mdp.39076001758197,1927,v.12,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001758197.basic.json.bz2,Fiction,London|P. Davies|1926-27,1926-1927,,4373104,enk,009913794,fic,1926,,[Novels and tales
"Lionni, Leo,",s,mdp.39076001781934,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001781934.basic.json.bz2,Fiction|Juvenile audience,New York|Knopf|Distributed by Random House|c1994.,1994,PZ7.L6634Ex 1994,28888742,nyu,002966010,fic,1994,,An extraordinary egg
"Carlson, Nancy L.",s,mdp.39076001782338,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076001782338.basic.json.bz2,Fiction|Juvenile audience,Minneapolis|Carolrhoda Books|c1982.,1982,,7948040,mnu,009924003,fic,1982,Dogs|Rabbits|Amusement rides|Juvenile fiction|Courage,Harriet and the roller coaster
"Wittkower, Rudolf.",s,mdp.39076002045222,    ,v.1,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076002045222.basic.json.bz2,Bibliographies|NotFiction,New Haven|Yale University Press|1999.,1999,N6916.W5 1999,40193764,ctu,4130415,other,1999,"18th century|Art, Italian|17th century","Art and architecture in Italy, 1600-1750"
"Gaskell, Elizabeth Cleghorn,",s,mdp.39076002071061,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002071061.basic.json.bz2,Bibliographies|Fiction,Halifax|Ryburn Pub.|1993.,1993,PR4710.M3 1993,28231039,enk,009925223,fic,1993,Working class|England|Manchester|Women|Fiction,Mary Barton
"Picard, Barbara Leonie.",s,mdp.39076002183692,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002183692.basic.json.bz2,Fiction|Juvenile audience,London|Kaye and Ward|New York|F. Warne|c1972.,1972,,640624,enk,009925765,fic,1972,King of Ireland|Juvenile literature|Kings and rulers|6th cent|Conary|King of Denmark|Gilgamesh (Legendary character)|Legends|Rolf Krake|Legends | Juvenile literature|d. ca. 40 B.C|Folklore,Three ancient kings
"Hogue, Wilber Owings.",s,mdp.39076002191380,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002191380.basic.json.bz2,Fiction|Juvenile audience,New York|Junior Literary Guild|Henry Holt|c1949.,1949,,17473737,nyu,009926062,fic,1949,Elephants|Juvenile fiction,"Bob Clifton, elephant hunter"
"Miller, Elizabeth Cleveland,",s,mdp.39076002191448,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002191448.basic.json.bz2,Fiction|Juvenile audience,New York|Junior Literary Guild|1931.,1931,,4331186,nyu,009926066,fic,1931,"Social life and customs|Juvenile fiction|Children's stories, Hungarian",Young Trajan
"Lansing, Marion Florence,",s,mdp.39076002191687,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002191687.basic.json.bz2,Fiction|Juvenile audience,"Garden City, N.Y.|Junior Literary Guild and Doubleday, Doran|c1941.",1941,,12499258,nyu,009926080,fic,1941,Tools|Design and construction|Juvenile fiction,"Nicholas Arnold, toolmaker"
"Pease, Howard,",t,mdp.39076002191828,1942,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002191828.basic.json.bz2,Fiction|Juvenile audience,"Garden City, N.Y.|Doubleday, Doran|1943, c1942.",1943,,22398192,nyu,009926088,fic,1943,"Detective and mystery stories|Moran, Tod (Fictitious character)|Juvenile fiction",Night boat
"(Stephen Warren), Meader, Stephen W.",s,mdp.39076002191836,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002191836.basic.json.bz2,Fiction|Juvenile audience,"New York|Harcourt, Brace|c1936.",1936,,3281270,nyu,009926089,fic,1936,Sports stories|Juvenile fiction,The will to win and other stories
"Edwards, Leo,",s,mdp.39076002192560,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002192560.basic.json.bz2,Fiction,New York|Grosset & Dunlap|c1929.,1929,,17609318,nyu,009926297,fic,1929,Farm life|Detective and mystery stories|Societies and clubs|Juvenile fiction|Children,Jerry Todd and the bob-tailed elephant
"Lawson, Robert,",s,mdp.39076002193089,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002193089.basic.json.bz2,Fiction|Juvenile audience,New York|Viking Press|1948.,1948,PZ10.3.L39Ro,1401403,nyu,009673019,fic,1948,Rabbits|Juvenile fiction,"Robbut, a tale of tails"
"Mena, María Cristina,",s,mdp.39076002193725,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002193725.basic.json.bz2,Fiction|Juvenile audience,London|New York|Oxford University Press|c1942.,1942,,2790559,enk,009926575,fic,1942,Boys|Mexico|Social life and customs|Water carriers (Persons)|Juvenile fiction,The water-carrier's secrets
"Bradfield, Roger.",s,mdp.39076002194061,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002194061.basic.json.bz2,Fiction|Juvenile audience,Chicago|Rand McNally|c1968.,1968,,449502,ilu,009926657,fic,1968,Lion|Juvenile fiction,Benjamin Dilley's lavender lion
"Chalmers, Mary,",s,mdp.39076002194459,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002194459.basic.json.bz2,Fiction,New York|Harper|c1958.,1958,,647522,nyu,009926727,fic,1958,Cats|Juvenile fiction,"Throw a kiss, Harry"
"Owen, Ruth Bryan,",s,mdp.39076002196611,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002196611.basic.json.bz2,Fiction,"New York|Dodd, Mead|1949.",1949,,1651076,nyu,009926359,fic,1949,Description and travel|Juvenile fiction,Caribbean caravel
"Kelsey, Alice Geer.",s,mdp.39076002197106,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002197106.basic.json.bz2,Fiction,"New York|Longmans, Green|1947.",1947,,1562427,nyu,009926420,fic,1947,Juvenile fiction|Social life and customs|Greece|Children,Racing the red sail
,s,mdp.39076002197445,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002197445.basic.json.bz2,Fiction|Juvenile audience,New York|Macmillan Company|1945.,1945,,48858858,nyu,009926462,fic,1945,"Minorities|United States|Children's stories, American|Juvenile fiction",Told under the stars and stripes
"Berry, Erick,",s,mdp.39076002197569,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002197569.basic.json.bz2,Fiction,New York|Macmillan|1944.,1944,,1595813,nyu,009926470,fic,1944,Geese|Juvenile fiction,Hearthstone in the wilderness
"Silliman, Leland,",s,mdp.39076002197635,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002197635.basic.json.bz2,Fiction|Juvenile audience,New York|Junior Literary Guild|Philadelphia|John C. Winston|c1949.,1949,,9171827,nyu,009926480,fic,1949,Baseball stories|Juvenile fiction,The purple tide
"Van Stockum, Hilda,",s,mdp.39076002198575,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002198575.basic.json.bz2,Fiction|Juvenile audience,New York|Viking Press|1957.,1957,,1404423,nyu,009926261,fic,1957,Fantasy fiction|Juvenile fiction|Forest animals,King Oberon's forest
"De Leeuw, Adèle,",s,mdp.39076002198609,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002198609.basic.json.bz2,Fiction|Juvenile audience,New York|Junior Literary Guild|Little Brown|1950.,1950,,4326960,nyu,009926262,fic,1950,Social life and customs|Horses|Girls|Juvenile fiction|Dakota Territory,Blue ribbons for Meg
"Bailey, Carolyn Sherwin,",s,mdp.39076002198948,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002198948.basic.json.bz2,Fiction,New York|Viking Press|1950.,1950,,1600507,nyu,009926187,fic,1950,Ghost stories|New Hampshire|Orchards|Juvenile fiction,Enchanted village
"Fernald, Helen Clark,",s,mdp.39076002199201,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002199201.basic.json.bz2,Fiction,"New York|Longmans, Green and co.|1937.",1937,,1021010,nyu,009926206,fic,1937,Railroads|History|Kansas|Juvenile fiction,Smoke blows west
"Gringhuis, Dirk,",s,mdp.39076002199698,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002199698.basic.json.bz2,Fiction|Juvenile audience,New York|McKay|c1958.,1958,,1618222,nyu,009925901,fic,1958,Social life and customs|Juvenile fiction|Loggers,The eagle pine
"Deucher, Sybil.",s,mdp.39076002226384,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002226384.basic.json.bz2,Fiction|Juvenile audience,New York|E.P. Dutton|1949.,1949,,972109,nyu,009926160,fic,1949,"1833-1897|19th century|Music|Juvenile fiction|Brahms, Johannes",The young Brahms
"Bannon, Laura.",s,mdp.39076002247828,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002247828.basic.json.bz2,Fiction|Juvenile audience,Chicago|Albert Whitman & Co.|c1964.,1964,,469171,ilu,009926769,fic,1964,Kangaroo rats|Lizards|Space flight|Juvenile fiction|Deserts,Twirlup on the moon
"Barne, Kitty,",s,mdp.39076002248974,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002248974.basic.json.bz2,Fiction|Juvenile audience,"New York|Dodd, Mead & Co.|1944.",1944,,1599649,nyu,009926861,fic,1944,"World War, 1939-1945|England|Evacuation of civilians|Children|Homing pigeons|Detective and mystery stories|Farmers|War use|Juvenile fiction|Great Britain",Three and a pigeon
"Queneau, Raymond,",s,mdp.39076002265796,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002265796.basic.json.bz2,Fiction,New York|New Directions|1981.,1981,PQ2633.U43O513 1981,6941718,nyu,000262325,fic,1981,,We always treat women too well
"Gringhuis, Dirk,",s,mdp.39076002266489,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002266489.basic.json.bz2,Fiction|Juvenile audience,Grand Rapids|W. B. Eerdmans|1947.,1947,,2478260,miu,009927008,fic,1947,Wisconsin|Dutch Americans|Juvenile fiction|Immigrants,Hope haven
"Hader, Berta.",s,mdp.39076002271638,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076002271638.basic.json.bz2,Juvenile audience|Fiction,New York;The Macmillan Co.;1945.,1945,PZ7.H117,1560167,nyu,009355663,fic,1945,Sailors|Juvenile fiction|Animals,Rainbow's end
"Meigs, Cornelia,",s,mdp.39076002271984,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002271984.basic.json.bz2,Fiction|Juvenile audience,"Boston|Little, Brown, and Company|1929.",1929,,362561,mau,009928817,fic,1929,City and town life|Orphans|Brothers and sisters|Juvenile fiction,The crooked apple tree
"Holland, Rupert Sargent,",s,mdp.39076002287469,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076002287469.basic.json.bz2,Fiction,Philadelphia|J.B. Lippincott Co.|1926.,1926,,1810433,vp ,9926825,fic,1926,"History|Juvenile fiction|Revolution, 1775-1783",The rider in the green mask
"Emerson, Alice B.",s,mdp.39076002315633,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002315633.basic.json.bz2,Fiction|Juvenile audience,New York|Cupples & Leon|c1923.,1923,,7337417,nyu,009927107,fic,1923,"Fielding, Ruth (Fictitious character)|Motion picture industry|Treasure troves|Juvenile fiction","Ruth Fielding treasure hunting, or, A moving picture that became real"
"(Dorothy Miller), Richardson, Dorothy M.",s,mdp.39076002347669,    ,v.2,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002347669.basic.json.bz2,Fiction,London|Virago|1979.,1979,,6380502,enk,009927129,fic,1979,"England|Autobiographical fiction, English|Fiction|Women|Women authors|20th century|Social life and customs",Pilgrimage
"Sir, Doyle, Arthur Conan,",s,mdp.39076002419187,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002419187.basic.json.bz2,Fiction,"Garden City, N.Y.|International Collectors Library|1955?",1955,,6750182,nyu,009928231,fic,1955,Detective and mystery stories,A treasury of Sherlock Holmes
"Claremont, Chris,",s,mdp.39076002455926,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002455926.basic.json.bz2,Fiction|Juvenile audience,"New York, NY|DC Comics|c1992.",1992,,35774201,nyu,009928400,fic,1992,"Science fiction comic books, strips, etc|Graphic novels|Life on other planets|Interplanetary voyages|Comic books, strips, etc",Star trek
"Peet, Bill.",s,mdp.39076002469562,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002469562.basic.json.bz2,Fiction|Juvenile audience,Boston|Houghton Mifflin|c1992.,1992,,36633465,mau,009928385,fic,1992,Elephants|Juvenile fiction,Ella
"Trefusis, Violet Keppel,",t,mdp.39076002503451,1937,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002503451.basic.json.bz2,Fiction,"Garden City, N.Y.|Dial Press|1984, c1937.",1984,PR6039.R39H8 1984,10851527,nyu,009928560,fic,1984,,Hunt the slipper
"Robertson, Keith,",s,mdp.39076002560436,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076002560436.basic.json.bz2,Juvenile audience|Fiction,Philadelphia|J.C. Winston|c1948.,1948,,1611394,pau,9928780,fic,1948,Horses|Pony express|Juvenile fiction,Ticktock and Jim
"Rohmer, Sax,",s,mdp.39076002575145,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002575145.basic.json.bz2,Fiction,"Garden City, N.Y.|Published for The Crime club by Doubleday, Doran & Co|c1930.",1930,,2563051,nyu,009928875,fic,1930,Detective and mystery stories|Science fiction|Paranormal fiction|Juvenile fiction,The day the world ended
"Coatsworth, Elizabeth Jane,",t,mdp.39076002580467,1930,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002580467.basic.json.bz2,Fiction|Juvenile audience,New York|Macmillan|1931 c1930.,1931,,21967016,nyu,009929019,fic,1931,Boys|Conduct of life|Guatemala|Mothers and sons|Parrots|Juvenile fiction,The boy with the parrot
"Spyri, Johanna,",s,mdp.39076002580483,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002580483.basic.json.bz2,Fiction|Juvenile audience,New York|Simon and Schuster|c1954.,1954,,62726179,nyu,009929021,fic,1954,Orphans|Heidi (Fictitious character : Spyri)|Switzerland|Girls|Grandfathers|Sick children|Homesickness|Juvenile fiction|Mountain life,Heidi
"Aardema, Verna.",s,mdp.39076002604481,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002604481.basic.json.bz2,Drama,New York|Coward-McCann|c1960.,1960,,1389635,nyu,009929393,dra,1960,Folklore|Animals|Juvenile literature|Ghana|Tales,The Na of Wa
